Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Abrahamba churi Isac aca, Isacpa churi Jacob aca, Jacobpa churiuna Judá aca paihua uquiunandi.	Abraham engendró a Isaac; Isaac engendró a Jacob; Jacob engendró a Judá y a sus hermanos	b.MAT.1.2
Judá churiuna Fares Zarandi aca, Tamarmanda llucshijguna, Farespa churi Esrom aca, Esromba churi Aram aca.	Judá engendró de Tamar a Fares y a Zéraj; Fares engendró a Hesrón; Hesrón engendró a Aram	b.MAT.1.3
Aramba churi Aminadab aca, Aminadabpa churi Naason aca, Naasomba churi Salmón aca.	Aram engendró a Aminadab; Aminadab engendró a Najsón; Najsón engendró a Salmón	b.MAT.1.4
Salmomba churi Booz aca, Rahabmanda llucshij, Boozpa churi Obed aca, Rutmanda llucshij, Obedpa churi Isai aca.	Salmón engendró de Rajab a Boaz; Boaz engendró de Rut a Obed; Obed engendró a Isaí	b.MAT.1.5
Salomomba churi Roboam aca, Roboamba churi Abías aca, Abíaspa churi Asa aca.	Salomón engendró a Roboam; Roboam engendró a Abías; Abías engendró a Asa	b.MAT.1.7
Asajpa churi Josafat aca, Josafatpa churi Joram aca, Joramba churi Uzías aca.	Asa engendró a Josafat; Josafat engendró a Joram; Joram engendró a Uzías	b.MAT.1.8
Uzíaspa churi Jotam aca, Jotamba churi Acaz aca, Acazpa churi Ezequías aca.	Uzías engendró a Jotam; Jotam engendró a Acaz; Acaz engendró a Ezequías	b.MAT.1.9
Ezequíaspa churi Manases aca, Manasespa churi Amón aca, Amomba churi Josías aca.	Ezequías engendró a Manasés; Manasés engendró a Amón; Amón engendró a Josías	b.MAT.1.10
Josíaspa churiuna Jeconías aca paihua uquiunandi, Babilonia llactama apashca horas.	Josías engendró a Jeconías y a sus hermanos en el tiempo de la deportación a Babilonia	b.MAT.1.11
Babiloniama apashca huasha, Jeconíaspa churi Salatiel aca, Salatielba churi Zorobabel aca.	Después de la deportación a Babilonia, Jeconías engendró a Salatiel; Salatiel engendró a Zorobabel	b.MAT.1.12
Zorobabelba churiuna Abiud aca, Eliaquindi, Eliaquimba churi Azor aca.	Zorobabel engendró a Abiud; Abiud engendró a Eliaquim; Eliaquim engendró a Azor	b.MAT.1.13
Azorba churi Sadoc aca, Sadocpa churi Aquim aca, Aquimba churi Eliud aca.	Azor engendró a Sadoc; Sadoc engendró a Aquim; Aquim engendró a Eliud	b.MAT.1.14
Eliudpa churi Eleazar aca, Eleazarba churi Matan aca, Matamba churi Jacob aca.	Eliud engendró a Eleazar; Eleazar engendró a Matán; Matán engendró a Jacob	b.MAT.1.15
Paihua cari José, ali shungu runa asha, huarmi ama manali rimashca achu nisha, pacalla pacalla paita saquinara iyaca.	José, su marido, como era justo y no quería difamarla, se propuso dejarla secretamente	b.MAT.1.19
Shu churira pagarichinga, paita shutichingui Jesús, paihua runaunara quishpichinga paiguna uchaunamanda.	Ella dará a luz un hijo; y llamarás su nombre Jesús, porque él salvará a su pueblo de sus pecados.	b.MAT.1.21
Cai tucui tucuca, Señorba rimashca shimiuna pactaringaj, profeta nishca Diosmanda rimaj rimashcasna.	Todo esto aconteció para que se cumpliese lo que habló el Señor por medio del profeta, diciendo	b.MAT.1.22
José pai nuspashcamanda lliccharisha Señorba ángel rimashcasna rasha, paihua huarmira apica.	Cuando José despertó del sueño, hizo como el ángel del Señor le había mandado, y recibió a su mujer	b.MAT.1.24
Herodes rey apuga caita uyasha turbarica, tucui Jerusalen llactandi.	Cuando el rey Herodes oyó esto, se turbó, y toda Jerusalén con él	b.MAT.2.3
Herodes tucui sacerdote apuunara, runaunamanda yachaira yachachijgunaras cayasha, paigunara tapuca: ¿Cristoga maibira pagarina acai? nisha.	Y habiendo convocado a todos los principales sacerdotes y a los escribas del pueblo, les preguntó dónde había de nacer el Cristo	b.MAT.2.4
Paiguna ninauca: Judeamanda Belembi; Diosmanda rimaj casnami quillcashca:	Ellos le dijeron:  En Belén de Judea, porque así está escrito por el profeta	b.MAT.2.5
Shinajpi Herodes chi yachajgunara pacalla pacalla cayasha, paigunamanda ali tapucami estrellas ricurishca tiempora.	Entonces Herodes llamó en secreto a los magos e indagó de ellos el tiempo de la aparición de la estrella	b.MAT.2.7
Paigunara cachaca Belén llactama, Chima richi, nisha, huahuamanda sumajlla tapuichi	Y enviándolos a Belén, les dijo:  Id y averiguad con cuidado acerca del niño	b.MAT.2.8
Paita tarishaga cuentahuaichi, ñuca shinallara shamusha huahuara adorangaj.	Tan pronto le halléis, hacédmelo saber, para que yo también vaya y le adore	b.MAT.2.8
Paiguna rey apura uyashca huasha rinaucami	Ellos, después de oír al rey, se fueron	b.MAT.2.9
Indi llucshina partii ricushca estrellas paiguna ñaupajpi rica pactai ringama, shinajpi huahua tiaushca huasi ahuai shayarica.	Y he aquí la estrella que habían visto en el oriente iba delante de ellos, hasta que llegó y se detuvo sobre donde estaba el niño	b.MAT.2.9
Estrellasta ricusha cushiyanauca ashcara.	Al ver la estrella, se regocijaron con gran alegría	b.MAT.2.10
Astaun, nuspashcaunai rimashca aca ama tigrangaj Herodesma, paiguna rinauca shu nambira.	Pero advertidos por revelación en sueños que no volviesen a Herodes, regresaron a su país por otro camino	b.MAT.2.12
Pai lliccharisha, tuta huahuara paihua mamandi pushasha, Egipto llactama rinauca.	Entonces José se levantó, tomó de noche al niño y a su madre, y se fue a Egipto	b.MAT.2.14
Chihui tianauca Herodes huañunagama, Señor rimashcara pactachingaj, Diosmanda rimaj rimashcasna: Egiptomanda ñuca Churira cayacani.	Y estuvo allí hasta la muerte de Herodes, para que se cumpliese lo que habló el Señor por medio del profeta, diciendo: De Egipto llamé a mi hijo	b.MAT.2.15
Shinajpi Herodes yachajguna paita umachinaupi ricusha, ashcara piñarisha, huahuaunara huañuchingaj cachaca, tucui ichilla cari huahuanara, ishqui huata tupumanda pishiunara, Belembi tiajgunara, chi rayai tiajgunaras, yachajguna rimashca tiempomanda yupasha.	Entonces Herodes, al verse burlado por los magos, se enojó sobremanera y mandó matar a todos los niños varones en Belén y en todos sus alrededores, de dos años de edad para abajo, conforme al tiempo que había averiguado de los magos	b.MAT.2.16
Chi horasllai Jeremías nishca Diosmanda rimaj rimashca shimi pactarica, pai nishca:	Entonces se cumplió lo dicho por medio del profeta Jeremías, diciendo	b.MAT.2.17
Rama nishca llactai shimi uyarica, Atun caparina, atun huacai, atun llaquirina, Raquel paihua churiunamanda huacasha	Voz fue oída en Ramá; grande llanto y lamentación	b.MAT.2.18
Cariyanara mana munacachu paiguna huañushcamanda.	Raquel lloraba por sus hijos, y no quería ser consolada, porque perecieron	b.MAT.2.18
Shinashas, Herodes huañushca huasha, Señorba ángel cuti ricurimuca Josera pai nuspashcaunai, Egipto llactai.	Cuando había muerto Herodes, he aquí un ángel del Señor apareció en sueños a José en Egipto	b.MAT.2.19
Chi punzhaunai Bautisaj Juan Judeai tiaj runa illashca partima rimaj shamuca.	En aquellos días apareció Juan el Bautista predicando en el desierto de Jude	b.MAT.3.1
Arrepentirichi, nica, ahua pacha mandana mayanllayashcami.	y diciendo: "Arrepentíos, porque el reino de los cielos se ha acercado.	b.MAT.3.2
Caimi Isaías nishca Diosmanda rimaj rimaushca, nisha: Caparij shimi, runa illashca partii caparisha: Señor purina nambira alichichi, paihua ñambiunara dirichuichi.	Pues éste es aquel de quien fue dicho por medio del profeta Isaías: Voz del que proclama en el desierto: "Preparad el camino del Señor; enderezad sus sendas.	b.MAT.3.3
Juan camello nishca illmahua ahuashcara churarishca aca, cara chumbillinahua chumbillishca aca	Juan mismo estaba vestido de pelo de camello y con un cinto de cuero a la cintura	b.MAT.3.4
Atun ijiunara sacha mishquiras micuj aca.	Su comida era langostas y miel silvestre	b.MAT.3.4
Paihuajma shamunauca Jerusalenmanda tucui Judeamanda, tucui Jordan rayai tiaj partiunamanda.	Entonces salían a él Jerusalén y toda Judea y toda la región del Jordán	b.MAT.3.5
Juan paigunara bautisaca Jordan yacui, paiguna ucharashcaunara cuentajpi.	y confesando sus pecados eran bautizados por él en el río Jordán	b.MAT.3.6
