PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
SIMIPI HINASPA RUNA SIMIPI	EN CASTELLANO Y QUECHUACASTELLANO
Reqsichiy	Presentación
Perú suyu Hatun Kamay Pirwa aswan hatun qelqapin churasqa kashian llapan sapanchasqa runakunaq allaukan hinaspa chaypiqa kashiallataqmi imayna kikin Estado peruano nisqa llaqtaq puriynin, hinapin khayna hatun qelqa aswan hatun tusaman Suyu askha runaq munasqan Estado Democrático y Constitucional de Derecho nisqa aswan kamachiypi puriq, hinaspa kikin kamachi hunt’ayqa aswan churakasqa llapan kikin qallariykunapi kausay, allin kausaykuna llapan kamachikunamantaq	La Constitución Política del Perú es la norma jurídica y política que consagra los derechos de las personas y establece la organización del Estado peruano, constituyéndose en un pilar fundamental del Estado Democrático y Constitucional de Derecho, donde el concepto del imperio de la ley cede paso a la supremacía de los principios, valores y normas constitucionales sobre el ordenamiento jurídic
Hoq ñeqe Hatun Kamay Pirwapi willakun runa kikin runa kaynin rayku aswan yupanchasqan kapun ichaqa sumaq ch’uya sonqopi rikusqa hinaspa suyuqpa ima ruwayninpaq kikin qayllanpi muyu	El artículo uno de nuestra Constitución Política consagra que la defensa de la persona humana y el respeto de su dignidad son el fin supremo de la sociedad y del Estad
Chay ch’uya sonqopi aswan ñaupaqchakuqtin chay llapan kamachiykunaman kasqan rayku, kapun chaymanta ima kamachikunapas ruwakunanpa	El principio-derecho de la dignidad humana, preexistente al orden estatal, sirve de sustento al contenido de los derechos fundamentales de la person
Llapan imaymana sana suyunchispi peruanos runakunaq imaymana llapan kausayniyoq kasqanman rayku, Hatun Kamay Pirwa allakuna sapanchasqa runa ichaqa sanan rayku hinaspa kikin kausay yachaynin rayku hinapin suyu allinta rikun chay sanan hinaspa kikin kausay yachayninkuna yupanchasqa; chayraykun allin yupanchasqa kanan hinaspa yanapanan astawan chay kikin kausay yachayninku mast’arisqa kanapaq, kikin peruana llaqta hina kausaynin kasqan rayk	Atendiendo a la diversidad étnica y cultural de los peruanos, nuestra Constitución consagra el derecho fundamental que tiene toda persona a su identidad étnica y cultural. El Estado reconoce y protege la pluralidad étnica y cultural de la nación; por lo que, tiene el deber de respetar y promover las diversas manifestaciones culturales, esencia de la multiculturalidad de la nación peruan
Hoq rikusqa hina kikin kausayninku yachaykunata imaymana kausayninkuna kasqanpi kashian runa simi rimaynin chayanmi aswan kinsa hunu peruanos runakuna rimaynin, hinapin allin kausaynin kallpachasqa kapu	Una de las manifestaciones más evidentes de la pluralidad cultural de la nación está constituida por el uso de la lengua quechua por más de tres millones de peruanos, dotándola de vida y dinamism
Khaynapitaqmi yuyayninchisman churawanchis Hatun Kamay Pirwa ukhupin kamachisqa runa simi llapan may llaqtakunapi rimakuyninqa allin paqtachasqa kasqant	Lo anterior nos permite recordar que la Constitución Política establece que el quechua es idioma oficial en las zonas donde predomin
Khayna kasqanpitaqmi, Chay Dirección General de Desarrollo y Ordenamiento Jurídico del Ministerio de Justicia y Derechos Humanos nisqa hatun kamayoq wasi qelqasqa hinaspa haywan kay Tawa Ñeqe Oficial nisqa Hatun Kamay Pirwa qelqata kikin castellano hinaspa runa simipi, hinapin aswan rikuna qelqa kasqa chay hinapitaqmi astawan llapan runakunata huñun, chaymantapas suyuntinpi llapan runa simi rimaqkunata yachanankupaq allaukanmanta hinaspa Qespi kayninmanta willasqa kaqtin runa kasqan rayk	En ese sentido, la Dirección General de Desarrollo y Ordenamiento Jurídico del Ministerio de Justicia y Derechos Humanos elabora y presenta la Cuarta Edición Oficial de la Constitución Política del Perú en castellano y quechua, documento de gran valor que se convierte en un factor de inclusión social, que permitirá a las personas quechua hablantes del país que se encuentren informados de sus derechos y libertades para su pleno ejercici
Qoya raymi 2015 wata	Octubre de 2015
Qelqa Ñawinchaypaq	Guía del Lector
Aswan allin ch’uya edición oficial nisqa qelqa ñawinchanapaqmi kayninkunata ruwana	Para el correcto uso de la presente edición oficial, el lector deberá tener en cuenta lo siguiente
Kay edición nisqa qelqapiqa Perú Suyu Hatun Kamay Pirwa kamachikunan kashia	La presente edición contiene las normas que integran la Constitución Política del Per
Llapan kay qelqapi churasqaqa kikin khunan kausaypi hunt’ay atiym	El texto de cada artículo es el vigente al momento de la presente publicació
Kay kikin texto del articulado nisqa kamachiyqa kinkin diario oficial El Peruano nisqa qelqamanta yachapasqa kashian, chhaynapin llapan imayna qelqasqa kasqanpuni churasq	El texto del articulado es copia fiel del diario oficial El Peruano en lo que se respecta a su contenido, incluyendo signos de puntuación y ortografía en genera
Hamut’aru Noemì Vizcardo Rozas, Hatun Qollana Lima Llaqtapi Runa Simi Apaqmi, kay qelqataqa castilla simamanta edición oficial nisqa kay hatun qelqata runasimiman t’ijran hinaspa kutichi	La Doctora Noemí Vizcardo Rozas, Presidenta de la Academia Mayor de la Lengua Quechua Región Lima, ha realizado la traducción e interpretación a la lengua quechua de la presente edición oficia
Chay notas a pie de página nisqakunaqa yupay qelqakunawanmi allin tuyrusqa kashian hinaspa chaykunan apakun ima kamachikuna hoq mosoq neray kasqanta, utaq yapasqa utaq qolluchisqa kasqantapas, párrafos hinaspa incisos nisqakunatapas hinapin reqsisqa kanku. Chaymantapas fe de erratas nisqapas kay qelqapi phatmikunamanta churasqallataqmi chaypi kashia	Las notas a pie de página se encuentran identificadas con números y hacen referencia a los dispositivos legales que modifican, incorporan, sustituyen o derogan artículos, párrafos e incisos de las normas que comprenden la presente edición, así como a las de fe de erratas que rectifican el texto de los artículos de la guí
Kay qelqataqmi kikinchasqa kashian 31 kantaraki killa 2015 watakam	La presente edición se encuentra actualizada hasta octubre de 201
ÑAWPAQ RIMAYKUY	PREÁMBULO
Congreso Constituyente Democrático nisqa, Kamaq Taytanchismanta mañakuspa, peruano nisqa llaqtaq kamachikusqanta kasukuspa, hinallataq suyunchispi ñaupaq machulanchiskunaq ñak’arikusqanta yuyarispa, kay Hatun Kamay Pirwata qoyta munan	El Congreso Constituyente Democrático, invocando a Dios Todopoderoso, obedeciendo el mandato del pueblo peruano y recordando el sacrificio de todas las generaciones que nos han precedido en nuestra Patria, ha resuelto dar la siguiente constitución
1 HATUN T’AQA	TÍTULO 1
RUNAMANTA HINASPA SUYUMANTA	DE LA PERSONA Y DE LA SOCIEDAD
1 Umalli	Capítulo 1
Runaqkunaq aswan allaukan hunt’anankunanmanta	Derechos fundamentales de la persona
Kikin runa kayninpi amachasqa kanamanta	Defensa de la persona humana
1 Phatmi	Artículo 1
Runakunaq amachaynin hinaspa yupaychayninmi suyuq hinaspa llaqta runaq qollananmi kana	La defensa de la persona humana y el respeto de su dignidad son el fin supremo de la sociedad y del Estad
Runaq aswan kikin allaukamanta	Derechos fundamentales de la persona
Sapanka Runaq khayna allaukayoq	Toda persona tiene derecho
2 Phatmi	Artículo 2
Kausayman, sutiyoq kayman, k’apaq kikinniyoq kayninman, yuyayninpi yachasqanman kurkun rikuyninman chaymantapas qespisqa wiñayninman allin kausayninpaq. Manaraq paqarimuqpas, paqarikuq hinan, imapas paypa allin kayninman sayapayuqpiqa	A la vida, a su identidad, a su integridad moral, psíquica y física y a su libre desarrollo y bienestar. El concebido es sujeto de derecho en todo cuanto le favorece
Kamachi qelqakunapaqqa llapanmi kasqan chaninchasqa	A la igualdad ante la ley
Manan pipas paqariynin rayku, sanan rayku, qhari kaynin rayku, warmi kaynin rayku, hoq neray yuyayniyoq rayku, rimaynin rayku, iñiynin rayku, qolqen rayku utaq hoq neray kausaynin raukupas millay t’aqasqachu kanmanchu	Nadie debe ser discriminado por motivo de origen, raza, sexo, idioma, religión, opinión, condición económica o de cualquiera otra índole
Ñaraq sapan, hoq runamasinwan huñunasqa, ima munasqanpi qespisqa yuyayniyoq kayman, qespisqa uñiymanpas	A la libertad de conciencia y de religión, en forma individual o asociada. No hay persecución por razón de ideas o creencias. No hay delito de opinión
Maman pipas munasqanman hina rimasqan qhepa qatiqachasqa kanmanchu hamut’aynin raykupas, iñiynin raykupas	El ejercicio público de todas las confesiones es libre, siempre que no ofenda la moral ni altere el orden público
Lliu Qespisqan kanchis imapas munasqanchisman hina yachanapaq, ima rimanapaqpas; ima hamut’aypaqpas, yuyayninchis uyarichikunanchispaqpas hinaspipas rimaspa yachasqanchis mast’arikunanpaq qelqapipas, hinallataq rimaspipas, mana piqpa simimanta muchuspa, mana p’enqakusqa, ichaqa kamachiypi kamachikusqanman hina	A las libertades de información, opinión, expresión y difusión del pensamiento mediante la palabra oral o escrita o la imagen, por cualquier medio de comunicación social, sin previa autorización ni censura ni impedimento algunos, bajo las responsabilidades de ley
Ima rimaspa, qelqaspa pirwapi q’omallikuykunapas, tukuy mana kay hatun kamachiykunawan tupaqqa, hucha hinan qhawachikun paqtachay qelqapi Código Penal nisqapi. Ayllu runa Paqtachana Hatun Wasipitaqmi paqtachasqa kanan	Los delitos cometidos por medio del libro, la prensa y demás medios de comunicación social se tipifican en el Código Penal y se juzgan en el fuero común
Huchan llapa runaq rimayninkuna tatichiyqa rimay wasikuna wesq’ay, chaymantapas qespisqa muyuq willariykuna hark’ay. Allaukan kan willakuypaq hinaspa rimaypaq	Es delito toda acción que suspende o clausura algún órgano de expresión o le impide circular libremente. Los derechos de informar y opinar comprenden los de fundar medios de comunicación
Mana imata willasqa llaqta kamayoq wasikunaman achhuyuspa ima yachay munasqanta mañakuyman, hinaspa chaskiyman tapusqanman hina munasqan willakuyta mana imapaq kasqanta willakuspa	A solicitar sin expresión de causa la información que requiera y a recibirla de cualquier entidad pública, en el plazo legal, con el costo que suponga el pedido
Sapaqchakunmi ichaqa runaq sapaq kausayninmanta willakuytaqa hinallataqmi manan willankumanchu llaqtaq kausaynin waqaychasqata	Se exceptúan las informaciones que afectan la intimidad personal y las que expresamente se excluyan por ley o por razones de seguridad nacional
Qolqe Marka Wasi pakapin runaq qolqenta waqaychananpaq ichaqa oqarikunmani paqtay kamayoq qelqa kamachiwan utaq, llaqtaq amachaqen utaq Rimana Wasipi Apullikunaq apusimi kamachiyman hina	El secreto bancario y la reserva tributaria pueden levantarse a pedido del Juez, del Fiscal de la Nación, o de una comisión investigadora del Congreso con arreglo a ley y siempre que se refieran al caso investigado
Servicios informáticos computarizados nisqa qhipu qelqakuna reqsinanman, ichaqa manan sapaqchasqa kausayninmanta pipas haywanmanchu willayta sapan hinaspa runaq ñat’i kausayninmanta nitaq aylluntapas	A que los servicios informáticos, computarizados o no, públicos o privados, no suministren informaciones que afecten la intimidad personal y familiar
Sumayman hinaspa allin chaninyoq, ñaraq sapan runaq ñat’i kausayman utaq ayllu kaykunamantapas, kikin wankiyoq kaymanpas	Al honor y a la buena reputación, a la intimidad personal y familiar así como a la voz y a la imagen propias
Sichus mana chaninta hoq runamanta rimakunman may willakuykunapi chayqa, kanmi runaq allaukan chay rimaykuna allchanankupaq mana qolqe chaninmanta, kasqanpacha willasqaman hina ichaqa kamachiypa hunt’achayman hina	Toda persona afectada por afirmaciones inexactas o agraviadas en cualquier medio de comunicación social tiene derecho a que éste se rectifique en forma gratuita, inmediata y proporcional, sin perjuicio de las responsabilidades de ley
Munanyninchismanta, ima yuyay, imayachay, ima kay, sumaq kay kamaqpaqpas, llut’aypaqpas, yachay tarpuymanpas, kamaypaqpas	A la libertad de creación intelectual, artística, técnica y científica, así como a la propiedad sobre dichas creaciones y a su producto
Suyun chay kaniymantaqa yanapanan chay yachaykunananta lliuman reqsichinankupaq	El Estado propicia el acceso a la cultura y fomenta su desarrollo y difusión
Manan pipas mana runaq siminmanta wasin ukhuman kallpachakuspa haykuyta atinmanchu. Nitaq pipas t’aqwikunmanchu mana hatun paqtachay kamayoqpa kamachiyninwanqa. Mayninpiqa runaq kausananpaq utaq ch’iki kankan apusimikuna kanmi	A la inviolabilidad del domicilio. Nadie puede ingresar en él ni efectuar investigaciones o registros sin autorización de la persona que lo habita o sin mandato judicial, salvo flagrante delito o muy grave peligro de su perpetración. Las excepciones por motivos de sanidad o de grave riesgo son reguladas por la ley
Mana pipas qhawananmanchu nitaq ñawinchanmanchu pakapi hinaspa ch’ikipi willayninkunata hinaspa sapaqchasqa qelqakunatas	Al secreto y a la inviolabilidad de sus comunicaciones y documentos privados
Willakuykuna, telecomunicaciones utaq instrumentos nisqakunastas atikunmanmi kichayta, qechuyta utaq hark’ayta paqtachaq kamayoq kamachikuyllanpi, Ichaqa kamachiypa ratinkayninp	Las comunicaciones, telecomunicaciones o sus instrumentos sólo pueden ser abiertos, incautados, interceptados o intervenidos por mandamiento motivado del juez, con las garantías previstas en la le
Wakin mana t’awina kaykuna ruwayninchisqa sichus qatachay kamachiypi t’aqwikunan cheyqa pakapin kanan	Se guarda secreto de los asuntos ajenos al hecho que motiva su examen
Sapanchasqa qelqa rap’akuna ch’ankaywan hap’isqaqa, manan kamachiy ruwaqpiqa kasusqachu kanku	Los documentos privados obtenidos con violación de este precepto no tienen efecto legal
Ima qelqakunapas, qolqe yupana qelqa ra’pakunapas, chaymanta kausaykunamanta qelqakunapas atinkun paqtachaypi qhawanankupaq, Ichaqa kamachiyman hinallapun	Los libros, comprobantes y documentos contables y administrativos están sujetos a inspección o fiscalización de la autoridad competente, de conformidad con la le
Chay ruwaykunapiqa manan kanmanchu horqoy utaq qechuy, Ichaqa kanmantaqmi paqtachiy kamachiypiqa	Las acciones que al respecto se tomen no pueden incluir su sustracción o incautación, salvo por orden judicial
Maypipas kausayninta tiyananpaq ajllayta, suyunnintinpi munayninman purikuyninta, lloqsiynanchista utaq haykuyninchistapas, Ichaqa manan atinchu mana qhali kaspaqa utaq paqtachay kamachisqanpi utaq hawa llaqtaq paqtachay kamachikuqtinpas	A elegir su lugar de residencia, a transitar por el territorio nacional y a salir de él y entrar en él, salvo limitaciones por razones de sanidad o por mandato judicial o por aplicación de la ley de extranjería
Manan piqpa siminmanta muchuspa tukuy sumaq allin ruwaykunapaq huñunakuyman	A reunirse pacíficamente sin armas
Sapanchasqa huñunakuypaqqa mana pimanpas mañakunachu	Las reuniones en locales privados o abiertos al público no requieren aviso previo
Wajaypatakunapi hinaspa k’ijllukunapi huñunakuypaqtami kamayoqman suchuyusma mañanapuni, ichaqa atinkunmanmi mana qoyta ichaqa sichus llapan runaq mana allinman urmayuyta atiqtin	Las que se convocan en plazas y vías públicas exigen anuncio anticipado a la autoridad, la que puede prohibirlas solamente por motivos probados de seguridad o de sanidad públicas
Manan piqpa siminmanta muchuspa tukuy sumaq allin ruwaykunapaq huñunakuyman fundaciones nisqakuna ruwaypaq hinaspapas, runapura huñunakuypiqa llank’ananku mana ima qolqemanta kamachiyllapipuni	A asociarse y a constituir fundaciones y diversas formas de organización jurídica sin fines de lucro, sin autorización previa y con arreglo a ley
Manan chay huñuykunataqa ima ruwaywanpas qolluchiyta atinkuchu	No pueden ser disueltas por resolución administrativa
Allin kay ruwanakuna hunt’aypaq kamachi rimanakuyman, ichaqa manan kanmanchu mana allin kamachiypi	A contratar con fines lícitos, siempre que no se contravengan leyes de orden público
Mana pipas kark’asqan llank’ayninchisman, kamachiyman hina	A trabajar libremente, con sujeción a ley
Ima kayniyoqpaqpas kanapaq, hinallataq suti ayllunchis wañuqtin kaynin chaskiq	A la propiedad y a la herencia
Ña sapan, utaq aylluchakuspipas llaqta suyunchispa suyu kausayninpi, musikuy kausayman, ayllu kausayman, yachaq tarpuq kausayman	A participar, en forma individual o asociada, en la vida política, económica, social y cultural de la Nación
Runakunaq allaukanmi kamachiyman hina ajllay hinaspa ajllasqa kayman, ajllasqanta horqoyman utaq mosoq kamachiykuna huñuy rimaypi yuyayukuspa kamachiy kanapaq qelqa churayta hinaspa referéndum nisqatapas mañakuyta	Los ciudadanos tienen, conforme a ley, los derechos de elección, de remoción o revocación de autoridades, de iniciativa legislativa y de referéndum
Sonqo ukhupi munayta, hamut’ayninta iñiytapas hap’inanpaq, pakaspa llank’ayninpi ima rikusqantapas	A mantener reserva sobre sus convicciones políticas, filosóficas, religiosas o de cualquiera otra índole, así como a guardar el secreto profesional
Runa ayllu kausayninman hinaspa yachayninkuman hina	A su identidad étnica y cultura
Suyuqa reqsinmi hinaspa amachaqen llapa ayllu runakunata kinaspa yachayninkunatapas	El Estado reconoce y protege la pluralidad étnica y cultural de la Nación
Perú suyu runaq allaukanmi kikin ayllupa siminpi rimayninman, hinaspa mana simin yachaq kamayoqkunaqa uyarinan hoq t’ijraq rantinpi rimasqanta	Todo peruano tiene derecho a usar su propio idioma ante cualquier autoridad mediante un intérprete
Hawa llaqtamanta kamayoqkuna wajaqtin ima willaymanpas kikin allaukayoqmi kallankutaq	Los extranjeros tienen este mismo derecho cuando son citados por cualquier autoridad
Ñaraq sapanchis, ñaraq aylluchasqa, qelqapi ima munasqanchis mañakuy. Hinallataq qelqasqa mañakuyninchista apusimi kamachikuq p’unchaykuna ukhupi kutichikuy chaskikuyman	A formular peticiones, individual o colectivamente, por escrito ante la autoridad competente, la que está obligada a dar al interesado una respuesta también por escrito dentro del plazo legal, bajo responsabilidad
Auqanakunaq Kallpakunapaq hinaspa T’ujriy Kamayoqpaqpas ima mañakuypas kanchu, ichaqa atinkun sapanka ch’ulla runa hina mañakuytaqa	Los miembros de las Fuerzas Armadas y de la Policía Nacional sólo pueden ejercer individualmente el derecho de petición
Llaqta kamayoq kayman	A su nacionalidad
Manan pipas llaqta kamayoq kayninta qechunmanchu	Nadie puede ser despojado de ella
Manataqmi pipas hark’anmanchu pasaporte nisqa qelqa mañakuynintaqa nitaq mauk’a kaqtin hoq mosoq horqonanpaqpas suyuchis ukhupipas hoq suyu llaqtakunapipas	Tampoco puede ser privado del derecho de obtener o de renovar su pasaporte dentro o fuera del territorio de la República
Thaq hinaspa llakhi kausayman, sumaq q’ochirikuyninman hinaspa llank’ayta tukuspa samanaman, hinaspapas allin kausay ukhupi llapan kausaynin wiñarichinanpaq	A la paz, a la tranquilidad, al disfrute del tiempo libre y al descanso, así como a gozar de un ambiente equilibrado y adecuado al desarrollo de su vida
Kikinmanta ima kutipakuyman	A la legítima defensa
Qespiypi, waqayqasqapi kausayman, ima	A la libertad y a la seguridad personales
Chayraykun	En consecuencia
Manan pipas ruwanmanchu mana kamachiy kamachisqanta, nitaqmi hark’asqantaqa	Nadie está obligado a hacer lo que la ley no manda, ni impedido de hacer lo que ella no prohíbe
Manan piqpa qespinninpas q’estisqa kanmanchu, ichaqa kamachiy kaypiqa atikunm	No se permite forma alguna de restricción de la libertad personal, salvo en los casos previstos por la le
