ruwana wichqay	cerrar sesión		2_76365
datukunaq rihurimuynin	origen de datos		25_42999
hatun llankana	banda ancha		27_136378
utqay rinapa llikan	red de banda ancha		27_216700
Outlook Web Llamkana Webpa Imankuna	Outlook Web App Web Part		28_2656622
reqsenapaq yupi	diacrítico		29_45264
reqsinapaq yupi	marca diacrítica		29_45263
XAML llankaysapa	XAML dinámico		41_340083
hatun yachaywan	con tecnología de		43_416375
akllanapaq chutarikuq	menú desplegable		45_48540
datukunaq haywapuynin	transferencia de datos		50_665
haywapuynin	transferencia		50_234319
proxy qarakuq	servidor proxy		62_3160
yanapaykuna	sugerencia		63_121914
copyright	copyright		76_39968
qallarina raphi	página principal		78_1803
hawa tarikuynin	dirección externa		83_351289
kuyusqa GIF	GIF animado		85_155
maskana rapi	página de búsqueda		93_148267
Windows Sidebar nisqa	Windows Sidebar		104_234833
SLCC	SLCC		110_314136
Software-nisqamanta Huñikuyninkunaq Tukuyrikuynin runa ruraq	Cliente de administración de licencias de software		110_312762
postmaster	postmaster		112_93994
pantay	error		124_53143
raqi Thaskiriy ñupuna	tecla Avanzar Página		141_89979
hukpa sutiwan yaykuq (phishing)	filtro de suplantación de identidad (phishing)		145_235054
aypukuq kamachiq	administrador del servidor		154_543576
mousepa tuqpinan	puntero del mouse		156_81809
tuqpina	puntero		156_662162
sinru rikchakuq	gráfico de columnas		160_34887
wachukunaq siq'in	gráfico de columnas		160_34886
runaq suyun kamaynin	configuración regional del usuario		163_311257
vector	vector		165_127792
clip huñusqa	colección de clips		174_138672
ADO	ADO		176_8891
ActiveX nisqaq willaqninkuna kusasnin	Objetos de datos ActiveX		176_8890
tikrachiq ñitina	tecla de alternancia		183_122023
tupachiy	actualizar		186_3712
sayanpan	vertical		197_93814
sayanpan kinrachiqnin	orientación vertical		197_93813
rawkanasqa chiqaqyachiq	certificado digital		203_443
chiqaqyachiq	certificado		203_442
yuyachikuykuna seqe	barra de datos		204_237285
ruwaq modulo nisqa	módulo de clase		220_31883
tatichiq	interrupción		223_321307
tatichikuyninmanta mañakuynin	petición de interrupción		223_70091
IRQ	IRQ		223_70092
imayna kaynin	forma		234_237832
Yuyay	memoria		240_79535
GB	GB		247_1552
gigabyte	gigabyte		247_1553
chaskipa listan	lista de distribución de correo		262_2791
kamachikuy	autorización		266_325
suchunapaq siqi	barra de desplazamiento		273_108331
ñiqinchay	ordenar		280_114555
kamachiq yupay	cuenta Administrador		286_157947
huñunasqa kamachiq yupay	cuenta Administrador		286_624589
huñunasqa kamachiq	cuenta predefinida de administrador		286_624618
ñawpaqmanta rimariy	referencia remota		293_147704
puchu cudigumanta	fragmento de código		297_33847
puchu cudigumanta	fragmento de código		297_2434423
tabulador riqsichiq	orden de tabulación		305_119276
kaqniyuq	propietario		308_475234
pivot ñisqa k'uchu	área dinámica		310_231969
XSL	XSL		317_141660
wiñarikuq kaynin rapipa 	Lenguaje de hojas de estilo extensible		317_141659
iskay clic ruray	hacer doble clic		319_48012
imaynata	modo		321_81284
qillqana rimariy	comentario manuscrito		333_232846
qawapayaq	controlador		334_845
imankunapas patachaq	controlador de dispositivo		334_316639
ActiveX	ActiveX		351_8805
kamay	configurar		374_37745
hatun qelqakuna taqin	biblioteca de documentos		378_141092
ñawiriywasi	biblioteca		378_380989
karu	remoto		379_102150
yaykuna	puerto		386_93737
hapirinalla	disponible		390_18288
pantalla yanapaq	pantalla auxiliar		400_236964
llalliriq llapampaq	Estándar de cifrado avanzado		411_258945
AES	AES		411_258955
Movie Maker	Movie Maker		416_1657889
Server willakuy internet yanapakuy	Internet Information Services		418_64389
IIS	IIS		418_64387
pacha rakinapaq	coordenada		419_39765
rikuchiq	dispositivo señalador		448_93293
kutijana ruwachiq	operador de comparación		450_36297
mana sasachu	fácilmente		453_346972
ima kaq masin	objeto vinculado		463_75391
Service Pack	Service Pack		476_3285
SP	SP		476_3286
tawak'uchu killakuna	diagrama de ciclo		480_140005
kamaynin	configuración		500_37690
chayanapaq k'uchun	área de destino		501_140730
pampa qelqa	gráfico de áreas		512_14369
tupachiy	sincronizar		522_150128
tupachiy	sincronizar		522_150129
wanllapa llamk'aynin	función de resumen		523_231979
mana suñachayniyuq k'uchu	área no imprimible		524_145183
kamachiqkunamanta yupaynin ñiqi	índice de autoridades		527_232853
haykunaq focun	foco de entrada		528_67425
HIP atipay	desafío HIP		543_558580
Qillqasqa willakuyniykuna	Mis documentos		563_154653
qallariq raphi	página introductoria		565_144149
onqoypa kanan	programa de virus		568_297005
wasimanta willakuy	referencia de celda		573_231958
Windowsman haykuy	Introducción a Windows		577_361199
mana winkuchispa rakisqa	fracción lineal		592_264639
munasqapi rakichikuq	guión discrecional		596_253755
akllariy	guión opcional		596_145661
qillqay	escribir		606_134615
waqllichiy harkaq programa	programa antimalware		608_1526400
waqllichiy harkaq software	software antimalware		608_1526399
qillqa	documento		617_1519064
qillqa willakuq	documento		617_47427
sulk'akaq-rurasqa	subproceso		621_121364
willaykachay	hacer streaming		640_5895
llamkayninman hina rakiq	clasificación de equipo		648_234820
Bloq Despl ñitina	tecla BLOQ DESPL		689_108242
IrDA willakuykuna yanapakuy	Servicio de información IrDA		694_263056
IAS	IAS		694_263057
IDL	IDL		699_731998
qillqapa sayaynin	fuente		705_55317
chaski tampu riksichiq	código postal		708_168172
DLL	DLL		719_47296
puriykachaq t'inkipa qillqa maytun	biblioteca de vínculos dinámicos		719_47297
kunan suyu	región actual		720_139724
llapan celdaq qhawarichiynin	referencia de celda absoluta		724_6299
llapan qhawarichiynin	referencia absoluta		724_652439
qatipana	streaming		726_116752
rantiq	cliente		728_483
rantiqkuna huñunasqa	equipo cliente		728_484
pisiyachiy	reducir		731_361193
Waqaychay	Guardar		732_185779
chiqap rimay	aviso		746_316258
rimay	expresión condicional		749_139172
booleana rimaq	expresión booleana		749_139173
Exchange	Exchange		753_2782724
versales	versalitas		754_113830
Web lidianapaq	discusión web		776_149884
electronico k'acha p'anqa	revista electrónica		800_875
k'acha p'anqa	revista		800_2598351
hanpara	escritorio		803_44794
qallarina	arranque		807_22891
wiksumpa rakisqa	fracción sesgada		808_264640
manasiq'isqayuq	quitar firma		820_210484
tinkuqkunapa kuqmun	barra de vínculos		823_144037
yanqa qawanapaq	virtual		824_129372
